distance_km,velocity_kms,diameter_m,trajectory_angle_deg,risk_score,risk_level,impact_probability
3776674.1825312567,18.077428646334447,731.3483194350205,57.433011153495656,0.5669498373559905,Medium,0.5385981703305589
9509607.348778665,16.651923368099112,188.589435620718,41.33632081807738,0.23619881933179881,Low,0.2221281654355763
7333339.72102348,11.165386937600102,349.9064958980367,86.80486723775468,0.26386823920401375,Low,0.2553640589872881
6006651.917760514,26.25433345355208,664.9642336735292,19.708060588581436,0.5676949700339806,Medium,0.5577443868967515
1602385.4724022434,21.68184561780201,484.67889780185754,52.90707743990466,0.636670799462727,Medium,0.6044250686139131
1602145.4773452163,35.29953473134013,739.8781834417193,63.018901349120036,0.7786293152606232,High,0.7415532622754548
627931.9410735846,6.123835316872039,961.4018617167454,74.30080404108435,0.6305503209142304,Medium,0.6156513875746288
8668452.650460605,27.535377464429423,120.96395427662151,36.62739273852064,0.34319145009722474,Low,0.26091764574542897
6031094.366844928,31.703210747904638,711.0198778160707,61.822971689173336,0.5700039560928007,Medium,0.47212414140227366
7095322.149070652,31.582029921590745,234.19243485395396,27.28813242458545,0.4695111251055628,Medium,0.47441389960154473
254815.71824323435,36.01258884834338,417.4043437705314,39.192848312563825,0.7998581761259485,High,0.805594919839198
9700603.029011844,30.516180999032294,37.698412166164125,80.60644180830593,0.25873097148317536,Low,0.3027010004858752
8332804.275964197,37.47335215766937,140.22784538123545,85.49168483978589,0.38072037082085947,Medium,0.36794210530232085
2162774.1512488476,16.6429809937312,323.1784026036552,64.69356122345383,0.5310556081316076,Medium,0.47137424747623113
1859158.4237106512,22.612329586304007,345.275876261545,33.69167016985665,0.6268431850946387,Medium,0.5298608443347403
1874874.8730416666,5.492788214901173,900.0872903797853,73.80520109771976,0.5642119710112791,Medium,0.5197021672134358
3077210.3174474,5.2435155556151924,743.1038447201826,2.328037355287816,0.5622546592866561,Medium,0.583380646489532
5271326.4947407665,13.404431715803197,972.3220533461059,9.247131948547896,0.5738365244610883,Medium,0.6459089696315344
4347852.935489052,8.528251899867984,601.0761527835643,59.5236362737825,0.444092813108117,Medium,0.4467970837466927
2947729.944970517,14.107397877751376,245.5051634308614,26.21237177430517,0.5078511279361007,Medium,0.44717163341929506
6137936.302487676,11.19651530849391,331.01675477203463,85.624759656043,0.3094642002840634,Low,0.2654681701588099
1437963.9134878162,5.998200869352688,323.2367436755072,39.24545508830742,0.5085024045804492,Medium,0.46606710837723325
2956839.2529254206,36.82564512421173,329.8618560249353,38.64283383502593,0.6809460922394983,High,0.6606466621612578
3695300.3407722325,5.2878095986112035,674.5993522462566,61.02715591718381,0.458932846950191,Medium,0.5149776181999345
4587896.342959507,30.76287505179799,533.1538884499641,69.08117060755707,0.5770537479720695,Medium,0.6369992204799086
7862500.815860486,10.325176042183077,388.4970571962111,42.800286431262286,0.2930067029851316,Low,0.2843939082463873
2036754.1324756793,36.928036769986,153.34431988507302,19.26008115405517,0.7047572323703235,High,0.7139107378760033
5166632.662215436,36.247857885646,27.028467127435178,69.59777784530594,0.4932288008674089,Medium,0.4533509062237356
5944524.960177323,27.886540122924007,222.74050419975413,28.83161473862648,0.4838323584939511,Medium,0.39833693627626576
512181.6065639774,28.52819524302118,111.93404694883786,15.759969236447184,0.6983604562304677,High,0.787777373903605
6095071.276419312,5.186869968939099,786.5178056979781,56.847617093251195,0.389187768003424,Medium,0.273063415473747
1746715.0306885508,39.47050481397607,116.93546802481596,8.140830029131536,0.7405040566566099,High,0.6487120407733823
697263.3502035312,35.72414112515351,725.607096120302,87.42174075774494,0.7880507637191015,High,0.8778710564770839
9491411.095670667,36.32871790055322,388.73039632720224,56.91575379709233,0.4072341959776207,Medium,0.4080649662111431
9658038.729091866,28.073558796780517,78.0114977950571,88.73059688295803,0.24114972291719305,Low,0.18485397756279093
8093553.613758788,17.06754250290878,813.6663991844279,30.500408113077246,0.4330418478301531,Medium,0.46717702938461864
3080907.003275038,36.27770271816683,581.7324173854303,87.40846450713582,0.6680671912928129,High,0.7067198565951118
1021837.5343635195,15.203092485291732,239.5827052992552,13.100602295576122,0.6065107454654081,Medium,0.5398764632080209
6858118.613795961,24.6949040169771,895.2077684610045,3.6625295112325604,0.5858118541315437,Medium,0.5591695853080649
4429517.312709033,8.490584032035883,50.0320223011987,2.9685654409142304,0.39316207432293004,Medium,0.43697436750821606
1264280.4367055492,37.26844705464626,205.8105101567741,41.83833335393044,0.7236254328430141,High,0.6827801455244895
4977010.255607138,9.926966021992467,753.2866931668317,7.47037777307353,0.5176925563642837,Medium,0.5318007432949753
392165.78509642306,12.871388200564255,710.8310406583397,46.09510957508416,0.6718141508616917,High,0.7430547601800054
9097738.000683881,24.534695534487525,292.82533525585563,29.475045315801044,0.34583133199246874,Low,0.22620709041541281
